,Unnamed: 0,繝ｩ繧､繝夜・菫｡縺ｮ菴咲ｽｮ・育ｧ抵ｼ・繝ｩ繧､繝門酔譎りｦ冶・閠・焚,繝√Ε繝・ヨ 繝｡繝・そ繝ｼ繧ｸ謨ｰ,
0,,780,54,0
1,,840,59,0
2,,900,65,0
3,,960,63,5
4,,1020,63,2
5,,1080,68,1
6,,1140,68,2
7,,1200,71,1
8,,1260,71,1
9,,1320,72,0
10,,1380,88,0
11,15,1440,93,0
12,,1500,90,0
13,,1560,87,1
14,,1620,91,0
15,,1680,91,1
16,,1740,104,0
17,,1800,104,0
18,,1860,107,0
19,16,1920,116,0
20,,1980,122,2
21,,2040,137,1
22,,2100,188,4
23,,2160,234,7
24,,2220,246,1
25,,2280,244,5
26,17,2340,185,7
27,,2400,160,3
28,,2460,140,3
29,,2520,151,1
30,,2580,128,3
31,,2640,121,1
32,18,2700,125,3
33,,2760,121,1
34,,2820,121,2
35,,2880,131,3
36,,2940,136,1
37,,3000,156,2
38,,3060,167,1
39,19,3120,167,1
40,,3180,163,0
41,,3240,157,1
42,,3300,159,1
43,,3360,168,1
44,,3420,182,1
45,,3480,195,1
46,20,3540,233,1
47,,3600,271,1
48,,3660,309,1
49,,3720,394,5
50,,3780,394,5
51,,3840,343,11
52,,3900,243,13
53,,3960,238,9
54,,4020,198,5
55,,4080,210,4
56,,4140,192,4
57,,4200,160,2
58,,4260,163,3
59,,4320,162,1
60,,4380,163,1
61,,4440,168,2
62,,4500,167,0
63,,4560,149,1
64,,4620,145,5
65,,4680,149,1
66,,4740,146,1
67,,4800,162,2
68,,4860,181,1
69,,4920,199,0
70,,4980,218,3
71,,5040,259,2
72,,5100,307,2
73,,5160,413,7
74,,5220,514,13
75,,5280,536,10
76,,5340,448,12
77,,5400,370,8
78,,5460,314,6
79,,5520,291,2
80,,5580,289,0
81,,5640,250,1
82,,5700,226,0
83,,5760,209,0
84,,5820,189,1
85,,5880,190,1
86,,5940,191,0
87,,6000,185,3
88,,6060,188,1
89,,6120,199,0
90,,6180,199,1
91,,6240,195,2
92,,6300,212,2
93,,6360,212,0
94,,6420,211,0
95,,6480,232,0
96,,6540,263,1
97,,6600,310,1
98,,6660,361,4
99,,6720,378,3
100,,6780,351,2
101,,6840,312,5
102,,6900,307,2
103,,6960,253,0
104,,7020,247,1
105,,7080,230,1
106,,7140,208,0
107,,7200,211,1
108,,7260,204,1
109,,7320,193,0
110,,7380,211,0
111,,7440,289,0
112,,7500,338,1
113,,7560,379,2
114,,7620,379,3
115,,7680,410,3
116,,7740,447,5
117,,7800,502,3
118,,7860,565,2
119,,7920,637,4
120,,7980,671,6
121,,8040,693,5
122,,8100,750,3
123,,8160,792,4
124,,8220,885,4
125,,8280,1037,1
126,,8340,1231,11
127,,8400,1430,21
128,,8460,1473,5
129,,8520,1338,7
130,,8580,1130,7
131,,8640,1040,3
132,,8700,935,6
133,,8760,926,5
134,,8820,816,3
135,,8880,746,5
136,,8940,747,4
137,,9000,740,4
138,,9060,733,0
139,,9120,723,3
140,,9180,741,2
141,,9240,737,0
142,,9300,738,3
143,,9360,740,1
144,,9420,760,2
145,,9480,815,3
146,,9540,831,2
147,,9600,848,2
148,,9660,875,5
149,,9720,883,5
150,,9780,863,1
151,,9840,895,3
152,,9900,938,3
153,,9960,1005,1
154,,10020,1138,5
155,,10080,1307,8
156,,10140,1529,21
157,,10200,1765,12
158,,10260,1818,26
159,,10320,1604,29
160,,10380,1406,12
161,,10440,1273,12
162,,10500,1110,2
163,,10560,1060,4
164,,10620,923,2
165,,10680,842,1
166,,10740,839,4
167,,10800,811,5
168,,10860,816,3
169,,10920,823,7
170,,10980,793,3
171,,11040,776,2
172,,11100,768,1
173,,11160,790,1
174,,11220,823,4
175,,11280,885,2
176,,11340,918,1
177,,11400,914,1
178,,11460,917,0
179,,11520,933,2
180,,11580,947,1
181,,11640,979,5
182,,11700,999,3
183,,11760,1078,2
184,,11820,1218,3
185,,11880,1358,7
186,,11940,1589,12
187,,12000,1858,22
188,,12060,1902,32
189,,12120,1695,25
190,,12180,1437,10
191,,12240,1319,7
192,,12300,1194,2
193,,12360,1127,2
194,,12420,1017,2
195,,12480,945,3
196,,12540,904,4
197,,12600,914,3
198,,12660,899,6
199,,12720,877,2
200,,12780,857,1
201,,12840,855,2
202,,12900,896,3
203,,12960,917,1
204,,13020,927,4
205,,13080,918,4
206,,13140,942,1
207,,13200,953,7
208,,13260,946,9
209,,13320,989,2
210,,13380,1070,1
211,,13440,1163,5
212,,13500,1205,9
213,,13560,1251,3
214,,13620,1375,8
215,,13680,1531,9
216,,13740,1762,23
217,,13800,2061,24
218,,13860,2111,25
219,,13920,1978,24
220,,13980,1753,20
221,,14040,1553,13
222,,14100,1340,15
223,,14160,1250,3
224,,14220,1128,3
225,,14280,1006,3
226,,14340,983,4
227,,14400,958,5
228,,14460,937,2
229,,14520,906,4
230,,14580,882,2
231,,14640,868,4
232,,14700,889,0
233,,14760,892,2
234,,14820,919,0
235,,14880,955,2
236,,14940,999,3
237,,15000,1015,1
238,,15060,1036,3
239,,15120,1036,6
240,,15180,1040,0
241,,15240,1097,0
242,,15300,1097,0
243,,15360,1176,1
244,,15420,1286,3
245,,15480,1487,8
246,,15540,1731,13
247,,15600,2002,29
248,,15660,2081,27
249,,15720,1948,17
250,,15780,1577,16
251,,15840,1419,6
252,,15900,1291,1
253,,15960,1275,5
254,,16020,1159,5
255,,16080,1050,2
256,,16140,1025,7
257,,16200,1004,5
258,,16260,999,3
259,,16320,998,4
260,,16380,983,3
261,,16440,983,5
262,,16500,980,3
263,,16560,995,9
264,,16620,1055,3
265,,16680,1142,5
266,,16740,1183,3
267,,16800,1227,10
268,,16860,1269,5
269,,16920,1336,2
270,,16980,1480,4
271,,17040,1678,14
272,,17100,1983,14
273,,17160,2289,34
274,,17220,2404,25
275,,17280,2148,31
276,,17340,1783,23
277,,17400,1629,15
278,,17460,1474,5
279,,17520,1405,3
280,,17580,1191,4
281,,17640,1115,7
282,,17700,1042,2
283,,17760,996,3
284,,17820,973,5
285,,17880,975,3
286,,17940,970,3
287,,18000,973,1
288,,18060,979,4
289,,18120,998,2
290,,18180,1027,4
291,,18240,1045,3
292,,18300,1071,2
293,,18360,1088,4
294,,18420,1103,3
295,,18480,1095,1
296,,18540,1107,3
297,,18600,1128,0
298,,18660,1239,0
299,,18720,1356,1
300,,18780,1400,5
301,,18840,1463,3
302,,18900,1535,3
303,,18960,1635,5
304,,19020,1878,10
305,,19080,2103,17
306,,19140,2460,26
307,,19200,2809,26
308,,19260,2908,33
309,,19320,2577,31
310,,19380,2012,17
311,,19440,1862,21
312,,19500,1808,9
313,,19560,1780,11
314,,19620,1511,11
315,,19680,1387,11
316,,19740,1356,6
317,,19800,1389,8
318,,19860,1401,2
319,,19920,1474,4
320,,19980,1505,7
321,,20040,1506,7
322,,20100,1542,4
323,,20160,1562,6
324,,20220,1593,3
325,,20280,1609,6
326,,20340,1639,8
327,,20400,1641,6
328,,20460,1656,5
329,,20520,1654,12
330,,20580,1647,7
331,,20640,1688,8
332,,20700,1687,7
333,,20760,1705,9
334,,20820,1714,16
335,,20880,1729,5
336,,20940,1758,8
337,,21000,1780,11
338,,21060,1791,7
339,,21120,1837,3
340,,21180,1993,7
341,,21240,2158,12
342,,21300,2334,8
343,,21360,2592,6
344,,21420,3158,18
345,,21480,3979,56
346,,21540,4583,113
347,,21600,4769,96
348,,21660,4239,76
349,,21720,3122,58
350,,21780,2235,20
351,,21840,2013,24
352,,21900,1891,16
353,,21960,1536,13
354,,22020,1121,10
355,,22080,886,5
356,,22140,790,8
357,,22200,713,7
